144 2022-06-26
1074 -386 50 
1074 -386 50 
1074 -386 51 
1074 -386 51 
1074 -385 51 
1075 -385 52 
1075 -385 52 
1075 -384 52 
1075 -383 52 
1075 -382 52 
1075 -381 53 
1075 -380 53 
1075 -379 53 
1075 -378 53 
1075 -377 53 
1075 -375 53 
1075 -374 53 
1075 -372 53 
1076 -370 54 
1076 -368 54 
1076 -366 54 
1076 -364 54 
1076 -362 54 
1076 -360 54 
1076 -358 54 
1076 -355 54 
1076 -353 54 
1074 -350 50 
1074 -350 50 
1074 -350 50 
1074 -350 50 
1074 -350 50 
1074 -350 50 
1074 -350 50 
1074 -350 50 
1074 -350 50 
1074 -350 50 
1074 -350 50 
1074 -350 50 
1074 -350 50 
1074 -350 50 
1074 -350 50 
1074 -350 50 
1074 -350 50 
1074 -350 50 
1074 -350 50 
1074 -350 50 
1074 -350 50 
1074 -350 50 
1074 -350 50 
1074 -350 50 
1074 -350 50 
1074 -350 50 
1074 -350 50 
1074 -350 50 
1074 -350 50 
1074 -350 50 
1074 -350 50 
1074 -350 50 
1074 -350 50 
1074 -350 50 
1074 -350 50 
1074 -350 50 
1074 -350 50 
1074 -350 50 
1074 -350 50 
1074 -350 50 
1074 -350 50 
1074 -350 50 
1074 -350 50 
1073 -349 48 
1073 -349 48 
1073 -349 47 
1074 -348 47 
1074 -348 47 
1075 -348 47 
1076 -348 47 
1077 -348 46 
1078 -348 46 
1079 -348 46 
1081 -348 46 
1082 -348 46 
1084 -348 46 
1085 -347 45 
1087 -347 45 
1090 -347 45 
1092 -347 45 
1095 -347 45 
1097 -347 45 
1100 -347 44 
1103 -347 44 
1106 -347 44 
1109 -347 44 
1113 -347 44 
1116 -347 44 
1119 -347 44 
1123 -347 44 
1127 -347 44 
1130 -347 44 
1134 -347 44 
1138 -347 44 
1142 -347 44 
1146 -347 43 
1153 -359 56 
1153 -364 56 
1153 -370 56 
1153 -375 56 
1153 -381 56 
1153 -386 56 
1153 -391 56 
1152 -396 55 
1152 -400 55 
1153 -405 55 
1153 -409 54 
1153 -414 54 
1153 -418 54 
1154 -422 54 
1154 -426 53 
1155 -430 53 
1155 -433 53 
1156 -437 53 
1157 -441 53 
1157 -444 52 
1158 -447 52 
1159 -450 52 
1160 -453 52 
