144 2022-06-17
1806 216 50 
1806 215 50 
1806 215 51 
1806 215 51 
1806 215 51 
1806 216 51 
1806 216 51 
1806 216 51 
1806 216 51 
1806 216 51 
1806 216 51 
1806 217 51 
1806 217 51 
1806 217 51 
1806 217 51 
1806 218 51 
1806 218 51 
1806 218 51 
1806 219 51 
1806 219 51 
1806 219 51 
1806 220 51 
1806 220 51 
1806 220 51 
1806 221 51 
1806 221 51 
1806 221 51 
1806 222 51 
1806 222 51 
1806 222 51 
1806 223 51 
1806 223 51 
1806 224 51 
1806 224 51 
1806 224 51 
1806 225 51 
1806 225 51 
1806 226 51 
1806 226 51 
1806 227 51 
1807 227 52 
1807 228 52 
1807 228 52 
1807 228 52 
1807 229 52 
1807 229 52 
1807 230 52 
1807 230 52 
1807 231 52 
1807 231 52 
1807 232 52 
1807 232 52 
1807 233 52 
1807 233 52 
1807 234 52 
1807 234 52 
1807 235 52 
1807 235 52 
1807 236 52 
1807 236 52 
1807 237 52 
1807 237 52 
1807 238 52 
1807 238 52 
1807 239 52 
1807 239 52 
1807 240 52 
1807 240 52 
1806 241 51 
1806 242 51 
1806 242 51 
1806 243 51 
1806 243 50 
1807 244 50 
1807 245 50 
1807 245 50 
1807 246 50 
1808 246 50 
1808 247 50 
1808 247 50 
1811 239 55 
1812 234 54 
1812 229 54 
1813 224 54 
1813 219 54 
1814 214 54 
1814 210 53 
1815 206 53 
1816 202 53 
1817 198 53 
1817 194 53 
1818 190 52 
1819 187 52 
1820 184 52 
1821 181 52 
1822 177 52 
1822 175 52 
1823 172 51 
1824 169 51 
1825 167 51 
1826 164 51 
1828 162 51 
1829 160 51 
1830 158 51 
1831 156 50 
1832 154 50 
1834 152 50 
1835 150 50 
1837 149 50 
1838 147 50 
1840 146 49 
1841 144 49 
1843 143 49 
1845 142 49 
1846 141 49 
1848 140 49 
1850 139 48 
1852 138 48 
1854 137 48 
1856 136 48 
1858 135 48 
1860 134 48 
1863 133 48 
1865 133 48 
1867 132 47 
1870 132 47 
1872 131 47 
1874 131 47 
1877 130 47 
1879 130 47 
1882 129 47 
1885 129 46 
1887 129 46 
1890 128 46 
1893 128 46 
1896 128 46 
1899 128 46 
1901 127 46 
1904 127 46 
1907 127 45 
1910 127 45 
1913 127 45 
1916 127 45 
1919 127 45 
1922 127 45 
1925 127 45 
1928 127 44 
1932 127 45 
1935 127 45 
1938 127 45 
1941 127 45 
1945 127 45 
1948 127 45 
1951 127 45 
1955 128 45 
1958 128 45 
1961 128 45 
1964 128 45 
1968 128 45 
1971 128 45 
1974 129 45 
1978 129 45 
1981 129 45 
1985 129 46 
1988 130 46 
1991 130 46 
1995 130 46 
1998 130 46 
2002 131 46 
2005 131 46 
2009 131 46 
2012 132 46 
2016 132 46 
2019 132 46 
2023 133 46 
2026 133 46 
2030 133 46 
2033 134 46 
2037 134 46 
2040 135 46 
2044 135 46 
2048 135 46 
2051 136 46 
2055 136 46 
2058 137 46 
2062 137 46 
2066 137 46 
2069 138 46 
2073 138 46 
2077 139 46 
2081 139 46 
2084 140 46 
2088 140 46 
2092 141 46 
2095 141 46 
2099 141 46 
2103 142 46 
2107 142 46 
2111 143 46 
2114 143 46 
2118 144 46 
2122 144 46 
2126 145 46 
2130 145 46 
2133 146 46 
2137 146 46 
2141 147 46 
2145 147 46 
2149 148 46 
2153 148 46 
2157 149 46 
2161 149 46 
2165 150 46 
2169 150 46 
2173 151 46 
2176 151 46 
2180 152 46 
2184 148 50 
2182 151 50 
2179 153 50 
2177 156 50 
2174 159 50 
2172 161 50 
2170 163 50 
2168 166 50 
2165 168 50 
2163 170 50 
2161 172 49 
2159 174 49 
2157 177 49 
2154 179 49 
2152 180 49 
2150 182 49 
2148 184 49 
2146 186 49 
2143 188 49 
2141 190 49 
2139 191 49 
2136 193 49 
2134 194 49 
2131 196 49 
2129 198 49 
2127 199 48 
2124 201 48 
2122 202 48 
2119 203 48 
2117 205 48 
2114 206 48 
2112 207 48 
2109 209 48 
2107 210 48 
2104 211 48 
2101 212 48 
2099 214 48 
2096 215 48 
2093 216 48 
2091 217 48 
2088 218 48 
2085 219 48 
2083 220 48 
2080 221 48 
2077 222 48 
2074 223 48 
2072 224 47 
2069 225 47 
2066 226 47 
2063 227 47 
2060 228 47 
2057 229 47 
2055 230 47 
2052 231 47 
2049 232 47 
2046 233 47 
2043 233 47 
2040 234 47 
2037 235 47 
2034 236 47 
2031 237 47 
2028 238 47 
2025 238 47 
2022 239 47 
2019 240 47 
2016 241 47 
2012 242 47 
2009 242 47 
2006 243 47 
2003 244 47 
2000 245 47 
1997 245 47 
1993 246 47 
1990 247 47 
1987 247 47 
1984 248 47 
1981 249 47 
1977 250 47 
1974 250 47 
1971 251 47 
1967 252 44 
1964 252 45 
1960 252 44 
1958 252 45 
1954 252 44 
1951 252 44 
1949 252 45 
1949 243 52 
1946 237 51 
1943 232 51 
1940 227 51 
1937 222 51 
1934 218 51 
1931 213 51 
1927 209 50 
1924 205 50 
1921 201 50 
1918 197 50 
1915 193 50 
1911 190 50 
1908 187 50 
1905 184 50 
