144 2022-06-12
100 1115 35 
100 1114 35 
100 1115 36 
100 1115 36 
100 1116 36 
101 1116 37 
101 1118 37 
101 1119 37 
101 1120 38 
101 1122 38 
101 1124 38 
101 1126 38 
102 1128 38 
102 1131 39 
102 1134 39 
102 1137 39 
102 1140 39 
102 1143 39 
102 1147 39 
102 1150 40 
102 1154 40 
102 1158 40 
99 1165 34 
99 1165 34 
99 1165 34 
99 1165 34 
99 1165 34 
99 1165 34 
99 1165 34 
99 1165 34 
99 1165 34 
99 1165 34 
99 1165 34 
99 1165 34 
99 1165 34 
99 1165 34 
99 1165 34 
99 1165 34 
99 1165 34 
99 1165 49 
99 1150 49 
99 1150 49 
99 1150 49 
99 1150 49 
99 1150 49 
99 1150 49 
99 1150 49 
99 1150 49 
99 1150 49 
99 1150 49 
99 1150 49 
99 1150 49 
99 1150 49 
99 1150 49 
99 1150 49 
99 1150 49 
99 1150 49 
99 1150 49 
99 1150 49 
103 1140 56 
103 1135 56 
103 1129 56 
103 1124 56 
103 1118 56 
103 1113 56 
102 1108 55 
103 1103 55 
102 1099 55 
102 1094 55 
102 1089 55 
102 1085 55 
102 1080 55 
102 1076 55 
102 1072 55 
103 1068 55 
103 1064 55 
103 1061 55 
103 1057 55 
103 1054 55 
103 1051 54 
103 1047 54 
103 1044 54 
103 1042 54 
103 1039 54 
103 1036 54 
103 1033 54 
103 1031 53 
103 1029 53 
103 1026 53 
103 1024 53 
103 1022 53 
103 1021 52 
103 1019 52 
103 1017 52 
104 1016 51 
104 1015 51 
104 1013 51 
105 1012 51 
105 1011 50 
106 1010 50 
106 1009 50 
107 1009 50 
108 1008 49 
108 1008 49 
109 1007 49 
110 1007 48 
111 1007 48 
112 1007 48 
113 1007 47 
114 1007 46 
115 1007 47 
117 1007 47 
118 1007 48 
120 1008 48 
122 1008 48 
123 1009 48 
125 1009 48 
127 1010 48 
128 1011 48 
130 1012 49 
132 1013 49 
134 1014 49 
136 1016 49 
138 1017 49 
140 1018 49 
142 1020 49 
144 1022 49 
147 1023 49 
149 1025 49 
151 1027 49 
154 1029 49 
156 1031 49 
159 1034 49 
161 1036 49 
164 1038 49 
166 1041 49 
169 1044 49 
172 1046 50 
174 1049 50 
177 1052 50 
180 1055 50 
183 1058 50 
186 1061 50 
189 1064 50 
192 1068 50 
194 1071 50 
197 1074 50 
200 1078 50 
202 1082 51 
204 1085 51 
207 1089 51 
209 1093 51 
211 1097 51 
213 1101 51 
215 1105 51 
217 1109 52 
219 1114 52 
221 1118 52 
223 1123 52 
224 1127 52 
226 1132 52 
228 1136 52 
229 1141 53 
230 1146 53 
228 1151 47 
229 1151 47 
230 1150 48 
230 1150 49 
229 1150 48 
228 1151 47 
227 1151 47 
226 1151 46 
224 1151 46 
222 1151 46 
220 1151 45 
218 1152 45 
216 1152 45 
214 1152 45 
211 1152 45 
208 1152 45 
205 1152 44 
202 1152 44 
199 1152 44 
196 1152 44 
193 1152 44 
189 1152 44 
186 1152 44 
182 1152 44 
179 1152 44 
179 1143 51 
175 1137 51 
171 1132 51 
167 1126 51 
163 1121 51 
159 1116 50 
155 1111 50 
151 1106 50 
147 1101 50 
143 1096 50 
139 1092 50 
135 1088 50 
130 1083 50 
126 1079 50 
122 1075 49 
118 1071 49 
113 1067 49 
109 1064 49 
104 1060 49 
100 1057 49 
102 1051 54 
102 1048 54 
102 1045 54 
102 1042 54 
102 1039 54 
102 1036 54 
102 1033 54 
102 1031 54 
102 1029 53 
109 1026 47 
120 1020 47 
131 1015 47 
141 1009 47 
152 1004 47 
162 999 47 
172 994 47 
183 989 47 
193 984 46 
203 979 46 
213 975 46 
223 970 46 
234 966 46 
244 962 46 
254 958 46 
264 954 46 
274 950 46 
284 947 46 
295 943 46 
305 940 45 
315 936 45 
325 933 45 
335 930 45 
345 927 45 
356 924 45 
366 922 45 
376 919 45 
386 917 45 
396 914 45 
406 912 44 
417 910 44 
427 908 44 
437 906 44 
447 904 44 
457 903 44 
467 901 44 
478 900 44 
488 898 43 
498 897 43 
508 896 43 
518 895 43 
528 894 43 
538 893 43 
548 893 42 
559 892 42 
569 892 42 
579 891 42 
589 891 42 
599 891 41 
609 891 41 
619 892 40 
629 891 41 
640 891 41 
650 892 42 
