144 2022-06-13
100 315 50 
100 314 50 
100 314 50 
100 315 51 
100 315 51 
101 315 51 
101 316 51 
101 316 51 
101 317 51 
101 318 52 
102 319 52 
102 320 52 
102 321 52 
102 323 52 
102 324 52 
103 325 52 
103 327 52 
103 329 52 
103 330 52 
103 332 52 
104 334 52 
104 337 52 
105 339 52 
105 341 52 
106 343 52 
107 346 52 
107 348 52 
106 351 47 
107 351 46 
108 351 46 
110 351 46 
111 351 45 
113 352 45 
115 352 45 
118 352 45 
120 352 45 
123 352 45 
126 352 44 
128 352 44 
131 352 44 
135 352 44 
138 352 44 
141 352 44 
145 352 44 
148 352 44 
152 352 44 
155 352 44 
159 352 44 
163 352 44 
167 352 44 
171 352 44 
175 353 43 
179 353 43 
183 353 43 
187 352 43 
191 352 43 
196 353 43 
200 353 43 
204 353 43 
209 353 43 
213 353 43 
217 353 43 
222 353 43 
226 353 43 
231 353 43 
235 353 43 
240 353 43 
244 353 43 
249 353 43 
254 353 43 
258 353 43 
263 353 43 
267 353 43 
272 353 43 
277 353 43 
281 353 43 
286 353 43 
291 353 43 
296 353 28 
301 352 29 
306 352 30 
311 353 30 
316 353 31 
321 354 31 
326 355 31 
331 357 31 
336 358 32 
341 360 32 
346 362 32 
351 364 32 
354 368 28 
359 368 28 
364 368 28 
369 368 28 
374 368 28 
379 368 28 
384 368 28 
389 368 28 
394 368 28 
399 368 28 
404 368 28 
409 368 28 
414 368 28 
419 368 28 
424 368 28 
429 368 28 
434 368 28 
439 368 28 
444 368 28 
449 368 28 
454 368 28 
458 368 28 
463 368 28 
468 368 28 
473 368 28 
478 368 28 
483 368 28 
488 368 28 
493 368 28 
498 368 28 
503 368 28 
507 368 28 
512 368 28 
517 368 28 
522 368 28 
527 368 28 
532 368 28 
537 368 28 
542 368 28 
546 368 43 
551 353 43 
556 353 43 
561 353 43 
566 353 43 
571 353 43 
576 353 43 
581 353 43 
585 353 43 
590 353 43 
595 353 43 
600 353 43 
605 353 43 
610 353 43 
615 353 43 
620 353 43 
624 353 43 
629 353 43 
634 353 43 
639 353 43 
644 353 43 
649 353 43 
654 353 43 
658 353 43 
663 353 43 
668 353 43 
673 353 43 
682 343 50 
686 338 50 
691 332 50 
696 327 50 
701 321 50 
706 316 50 
711 311 50 
716 306 49 
721 301 49 
726 297 49 
731 292 49 
737 288 49 
742 284 34 
747 280 34 
752 273 40 
752 269 39 
752 266 39 
752 263 38 
752 260 38 
752 258 38 
752 255 37 
753 253 37 
753 251 37 
754 250 36 
754 248 36 
755 247 36 
755 246 35 
756 245 35 
757 244 34 
757 244 34 
758 244 33 
759 244 33 
760 245 32 
761 244 33 
763 245 33 
764 245 33 
766 246 34 
767 247 34 
769 248 34 
770 249 34 
772 251 35 
774 253 35 
776 255 35 
777 257 35 
779 259 35 
781 262 35 
781 266 30 
783 267 30 
785 267 30 
787 267 30 
790 267 30 
792 267 30 
795 267 29 
798 267 29 
801 267 29 
804 267 29 
811 258 36 
814 252 36 
817 247 36 
821 242 36 
824 237 36 
828 233 35 
831 229 35 
835 225 35 
838 221 35 
842 217 35 
845 214 34 
849 211 34 
852 205 39 
852 203 39 
852 200 39 
851 198 38 
851 196 38 
851 194 38 
851 192 38 
851 191 37 
851 190 37 
851 189 37 
850 188 37 
837 185 32 
826 180 32 
815 174 32 
805 169 31 
794 164 31 
784 160 31 
774 156 31 
764 152 31 
754 148 31 
744 144 31 
734 141 31 
725 137 31 
715 134 31 
706 132 30 
702 125 39 
702 123 38 
699 125 34 
700 124 35 
700 124 36 
701 125 37 
701 125 37 
701 126 37 
701 127 37 
706 130 25 
718 129 26 
729 129 26 
740 130 27 
752 130 27 
763 131 28 
774 132 28 
785 134 28 
796 135 28 
808 137 29 
819 139 29 
830 141 29 
841 143 29 
852 146 29 
863 148 30 
874 151 30 
885 154 30 
896 158 30 
907 161 30 
919 165 30 
926 169 25 
937 169 25 
949 165 34 
949 165 34 
949 165 34 
953 155 41 
953 150 41 
953 145 40 
953 140 40 
953 135 40 
953 131 39 
953 127 39 
953 123 39 
951 126 32 
952 125 34 
953 125 34 
953 126 34 
954 127 35 
955 127 35 
956 129 35 
957 130 35 
958 131 35 
959 133 36 
960 135 36 
962 137 36 
961 141 31 
962 141 31 
964 141 30 
966 142 30 
968 142 30 
970 142 30 
972 142 30 
975 142 30 
978 142 30 
980 142 29 
983 142 29 
986 142 29 
990 142 29 
993 142 29 
996 142 29 
1000 142 29 
1003 142 29 
1007 142 29 
1011 142 29 
1015 142 29 
1018 142 29 
1022 142 29 
1026 142 28 
1030 142 28 
1035 142 28 
1039 142 28 
1043 143 28 
1047 143 28 
1051 143 28 
1056 143 28 
1060 143 28 
1064 143 28 
1069 143 28 
1073 143 28 
1078 143 28 
1082 143 28 
1087 142 44 
1100 139 50 
1100 140 51 
1100 140 51 
1101 141 51 
1101 141 52 
1101 142 52 
1101 143 52 
1101 144 52 
1101 145 52 
1101 146 52 
1101 147 52 
1100 150 48 
1100 151 47 
1100 151 47 
1101 151 46 
1102 151 46 
1104 151 46 
1105 151 46 
1107 152 45 
1109 152 45 
1111 152 45 
1113 152 45 
1116 152 45 
1119 152 45 
1121 152 44 
1124 152 44 
1127 152 44 
1130 152 44 
1134 152 44 
1137 152 44 
1140 152 44 
1144 152 44 
1148 152 44 
1151 152 44 
1155 152 44 
1159 152 44 
1163 152 44 
1167 152 44 
1171 152 43 
1175 153 43 
1179 153 43 
1183 153 43 
1188 152 44 
1192 152 45 
1197 152 45 
1201 153 45 
1206 153 45 
1210 154 46 
1215 154 46 
1219 155 46 
1224 156 46 
1228 157 46 
1233 158 46 
1238 159 46 
1242 160 46 
1247 162 47 
1252 163 47 
1257 165 47 
1262 166 47 
1266 168 47 
1271 170 47 
1276 172 47 
1281 174 47 
1286 176 47 
1291 178 47 
1296 181 47 
1301 183 47 
1306 185 48 
1312 188 48 
1317 191 48 
1322 194 48 
1327 196 48 
1332 199 48 
1338 202 48 
1343 206 48 
1348 209 48 
1354 212 48 
1359 216 48 
1365 219 48 
1370 223 48 
1376 226 48 
1381 230 48 
1387 234 48 
1392 238 48 
1398 242 48 
1404 246 48 
1409 250 49 
1415 254 49 
1421 259 49 
1426 263 49 
1432 268 49 
1438 272 49 
1444 277 49 
1450 282 49 
1456 287 49 
1462 291 49 
1467 296 49 
1473 302 49 
1479 307 49 
1485 312 49 
1491 317 49 
1498 323 49 
1504 328 49 
1510 334 49 
1516 339 49 
1522 345 49 
1525 353 42 
1534 344 49 
1540 338 49 
1547 332 49 
1553 327 49 
1559 322 49 
1565 317 49 
1571 312 49 
1577 307 49 
1584 302 49 
1590 297 48 
1596 293 48 
1603 288 48 
1609 284 48 
1615 280 48 
1622 276 48 
1628 272 48 
1634 268 48 
1641 264 48 
1647 261 48 
1654 258 47 
1660 254 47 
1667 251 47 
1673 248 47 
1680 245 47 
1687 242 47 
1693 240 47 
1700 237 47 
1707 235 46 
1713 232 46 
1720 230 46 
1727 228 46 
1733 226 46 
1740 224 46 
1747 222 46 
1754 221 46 
1761 219 45 
1767 218 45 
1774 216 45 
1781 215 45 
1788 214 45 
1795 213 45 
1802 212 44 
1809 211 44 
1816 211 44 
1823 210 44 
1830 210 44 
1837 210 43 
1844 209 43 
1851 209 43 
1858 209 42 
1864 210 42 
1872 210 42 
1879 210 43 
1887 210 43 
1894 210 43 
1901 210 44 
1909 211 44 
1916 212 44 
1924 212 44 
1931 213 44 
1938 214 44 
1946 215 45 
1953 216 45 
1961 218 45 
1968 219 30 
1976 220 30 
1983 222 30 
1991 224 31 
1998 226 31 
2005 228 31 
2013 231 31 
2020 234 32 
2027 236 32 
2034 239 32 
2041 243 32 
2048 246 32 
2054 250 33 
2061 254 33 
2067 258 33 
2074 262 33 
2080 266 33 
2086 271 34 
2092 276 34 
2098 281 34 
2104 286 34 
2109 291 34 
