144 2022-06-26
100 315 50 
100 314 50 
100 314 50 
100 315 51 
100 315 51 
101 315 51 
101 316 51 
101 316 51 
101 317 51 
101 318 52 
102 319 52 
102 320 52 
102 321 52 
102 323 52 
102 324 52 
103 325 52 
103 327 52 
103 329 52 
103 330 52 
103 332 52 
104 334 52 
104 337 52 
105 339 52 
105 341 52 
106 343 52 
107 346 52 
107 348 52 
106 351 47 
107 351 46 
108 351 46 
110 351 46 
111 352 45 
113 352 45 
115 352 45 
118 352 45 
120 352 45 
123 352 45 
126 352 44 
128 352 44 
131 352 44 
135 352 44 
138 352 44 
141 352 44 
145 352 44 
148 352 44 
152 352 44 
155 352 44 
159 352 44 
163 352 44 
167 352 44 
171 352 44 
175 353 43 
179 353 43 
183 353 28 
188 352 30 
192 352 30 
197 353 31 
201 353 31 
206 354 31 
210 355 32 
215 357 32 
219 358 32 
224 360 32 
228 362 32 
233 364 33 
235 368 28 
240 368 28 
245 368 28 
249 368 28 
254 368 28 
258 368 28 
263 368 28 
268 368 28 
272 368 28 
277 368 28 
282 368 28 
287 368 28 
291 368 28 
296 368 28 
301 368 28 
305 368 28 
310 368 28 
315 368 28 
320 368 28 
324 368 28 
329 368 28 
334 368 28 
339 368 28 
344 368 28 
348 368 28 
353 368 28 
358 368 28 
363 368 28 
368 368 28 
372 368 28 
377 368 28 
382 368 28 
387 368 28 
392 368 28 
397 368 28 
401 368 28 
406 368 28 
411 368 28 
416 368 28 
421 368 28 
426 368 28 
430 368 28 
435 368 28 
440 368 28 
445 368 28 
450 368 28 
455 368 28 
459 368 28 
464 368 28 
469 368 28 
474 368 28 
479 368 28 
484 368 28 
489 368 28 
493 368 28 
498 368 28 
503 368 28 
508 368 28 
513 368 28 
518 368 28 
523 368 28 
527 368 28 
532 368 28 
537 368 28 
542 368 28 
547 368 28 
552 368 28 
557 368 43 
561 353 43 
566 353 43 
571 353 43 
576 353 43 
581 353 43 
586 353 43 
591 353 43 
595 353 43 
600 353 43 
605 353 43 
614 343 50 
618 338 50 
623 332 50 
628 327 50 
633 321 50 
638 316 50 
643 311 50 
648 306 49 
653 301 49 
658 297 49 
663 292 49 
669 288 49 
674 284 49 
679 279 49 
684 275 49 
690 272 49 
695 268 48 
700 264 48 
706 261 48 
711 257 48 
716 254 48 
722 251 48 
727 248 48 
733 245 48 
738 242 47 
744 239 47 
750 237 47 
755 234 47 
761 232 47 
766 230 47 
772 228 47 
778 226 47 
784 224 46 
789 222 46 
795 220 31 
801 219 31 
807 218 31 
813 217 30 
818 216 30 
824 216 30 
830 215 29 
836 215 29 
841 216 28 
850 212 35 
837 208 32 
826 203 32 
816 198 32 
805 192 31 
794 188 31 
784 183 31 
774 179 31 
764 175 31 
754 171 31 
744 167 31 
734 164 31 
725 161 31 
715 158 31 
706 155 30 
702 148 39 
709 146 32 
720 141 32 
731 135 31 
742 130 31 
750 130 25 
762 129 26 
773 129 26 
784 130 27 
796 130 27 
807 131 28 
818 132 28 
829 133 28 
840 135 28 
851 137 29 
862 139 29 
874 141 29 
885 143 29 
896 146 29 
907 148 30 
918 151 30 
929 154 30 
940 158 30 
952 157 39 
937 155 32 
926 149 32 
916 144 32 
905 139 31 
894 134 31 
884 130 31 
871 129 25 
861 129 26 
852 129 27 
842 129 27 
833 130 28 
823 131 28 
814 132 29 
805 133 29 
796 135 29 
787 136 30 
778 138 30 
770 140 30 
761 143 30 
753 145 31 
744 148 31 
736 151 31 
728 154 31 
720 157 31 
712 160 32 
704 164 32 
702 164 40 
702 168 40 
702 172 40 
703 177 40 
703 181 41 
703 186 41 
703 191 41 
703 197 40 
703 202 40 
703 208 40 
703 214 40 
704 220 40 
704 226 40 
705 232 40 
705 239 40 
706 246 40 
706 252 40 
707 260 40 
708 267 40 
709 274 40 
710 282 40 
711 289 40 
712 297 40 
713 305 40 
714 314 40 
715 322 40 
716 331 40 
718 339 40 
719 348 40 
720 357 40 
717 366 31 
719 366 31 
721 367 30 
723 367 30 
725 367 30 
727 367 30 
730 367 30 
732 367 30 
735 367 29 
738 367 29 
741 367 29 
744 367 29 
749 365 34 
749 365 34 
749 365 34 
753 355 41 
753 350 41 
753 345 41 
753 340 41 
752 335 40 
752 331 40 
752 326 40 
752 322 40 
752 318 40 
752 315 40 
752 311 39 
752 308 39 
752 305 39 
752 303 39 
752 300 39 
751 298 38 
751 296 38 
751 294 38 
751 292 38 
751 291 37 
751 290 37 
751 289 37 
751 288 37 
737 285 32 
726 280 32 
716 274 32 
705 269 31 
694 264 31 
684 260 31 
674 256 31 
664 252 31 
654 248 31 
644 244 31 
634 241 31 
625 237 31 
615 235 31 
606 232 30 
602 225 39 
602 223 38 
601 221 38 
601 219 38 
601 217 38 
601 216 38 
601 215 38 
601 214 37 
601 213 37 
610 210 32 
621 205 32 
628 205 25 
640 204 26 
651 204 26 
662 205 27 
674 205 27 
685 206 28 
696 207 28 
707 208 28 
718 210 28 
730 212 29 
741 214 29 
752 216 29 
763 218 29 
774 221 29 
785 223 30 
796 226 30 
807 229 30 
818 233 30 
829 236 30 
840 240 30 
852 239 40 
837 237 32 
826 232 32 
816 227 32 
805 222 31 
794 217 31 
784 212 31 
774 208 31 
764 204 31 
754 200 31 
744 196 31 
734 193 31 
725 190 31 
715 187 31 
706 184 30 
702 177 39 
701 175 38 
701 173 38 
701 171 38 
701 170 38 
701 168 38 
701 167 38 
709 164 32 
720 159 32 
731 154 31 
742 149 31 
753 144 31 
764 139 31 
775 135 31 
786 131 31 
797 127 30 
805 129 25 
817 129 26 
828 129 26 
840 130 27 
851 130 27 
862 131 28 
873 132 28 
884 133 28 
895 135 28 
906 137 29 
918 139 29 
929 141 29 
940 143 29 
951 146 29 
959 144 25 
973 135 32 
984 130 32 
991 129 25 
1002 129 26 
1013 129 27 
1024 129 27 
1035 130 27 
1045 131 28 
1056 132 28 
1067 133 28 
1077 135 29 
1088 137 29 
1099 139 29 
1109 141 29 
1120 143 29 
1131 145 30 
1141 148 30 
1152 151 30 
1162 154 30 
1173 158 30 
1184 161 30 
1194 165 31 
1205 169 31 
1215 173 31 
1226 177 31 
1236 181 31 
1247 186 31 
1258 191 31 
1268 196 32 
1279 201 32 
1289 207 32 
1300 212 47 
1310 218 47 
1321 224 47 
1331 229 47 
1342 235 47 
1352 241 47 
1363 247 47 
1373 253 47 
1384 260 47 
1394 266 47 
1405 272 47 
1415 279 47 
1426 285 47 
1436 292 48 
1447 298 48 
1457 305 48 
1468 312 48 
1478 319 48 
1488 326 48 
1499 333 48 
1509 340 48 
1520 347 48 
1526 354 40 
1536 354 40 
1550 345 47 
1560 339 47 
1569 333 47 
1579 328 47 
1589 323 47 
1599 318 47 
1608 312 47 
1618 308 47 
1628 303 47 
1637 298 47 
1647 294 47 
1657 289 46 
1667 285 46 
1676 281 46 
1686 277 46 
1696 273 46 
1706 269 46 
1715 265 46 
1725 262 46 
1735 258 46 
1745 255 46 
1754 252 45 
1764 249 45 
1774 246 45 
1784 243 45 
1793 240 45 
1803 238 45 
1813 235 45 
1823 233 45 
1832 231 45 
1842 229 45 
1852 227 44 
1862 225 44 
1871 223 44 
1881 221 44 
1891 220 44 
1901 218 44 
1910 217 44 
1920 216 28 
1930 215 28 
1939 214 28 
1949 214 28 
1958 213 27 
1967 214 27 
1976 214 26 
1986 214 27 
1996 214 27 
2005 214 28 
2015 215 28 
2024 216 28 
2033 217 29 
2043 218 29 
2052 219 29 
2061 221 30 
2070 223 30 
2079 225 30 
2087 227 30 
2096 230 31 
2105 233 31 
2113 235 31 
2121 239 31 
2129 242 32 
2138 245 32 
2145 249 32 
2153 253 32 
2161 257 32 
2169 261 33 
2176 265 33 
2183 270 33 
2191 275 33 
2198 280 33 
2205 285 33 
2212 290 34 
2218 296 34 
2225 302 34 
2232 307 34 
2238 314 34 
2245 320 35 
2251 326 35 
2257 333 35 
