144 2022-06-26
4174 -272 50 
4174 -272 50 
4174 -272 51 
4174 -272 51 
4174 -271 51 
4175 -271 52 
4175 -271 52 
4175 -270 52 
4175 -269 52 
4175 -268 52 
4175 -267 53 
4175 -266 53 
4175 -265 53 
4175 -264 53 
4175 -263 53 
4175 -261 53 
4175 -260 53 
4175 -258 53 
4176 -256 54 
4176 -254 54 
4176 -252 54 
4174 -250 50 
4174 -250 50 
4174 -250 50 
4174 -250 50 
4174 -250 50 
4174 -250 50 
4174 -250 50 
4174 -250 50 
4174 -250 50 
4174 -250 50 
4174 -250 50 
4174 -250 50 
4174 -250 50 
4174 -250 50 
4174 -250 50 
4174 -250 50 
4174 -250 50 
4174 -250 50 
4174 -250 50 
4174 -250 50 
4174 -250 50 
4174 -250 50 
4174 -250 50 
4174 -250 50 
4174 -250 50 
4174 -250 50 
4174 -250 50 
4174 -250 50 
4174 -250 50 
4174 -250 50 
4174 -250 50 
4174 -250 50 
4174 -250 50 
4174 -250 50 
4174 -250 50 
4174 -250 50 
4174 -250 50 
4174 -250 50 
4174 -250 50 
4174 -250 50 
4174 -250 50 
4174 -250 50 
4174 -250 50 
4174 -250 50 
4174 -250 50 
4174 -250 50 
4174 -250 50 
4174 -250 50 
4174 -250 50 
4174 -250 50 
4174 -250 50 
4174 -250 50 
4174 -250 50 
4174 -250 50 
4174 -250 50 
4174 -250 50 
4174 -250 50 
4174 -250 50 
4174 -250 50 
4174 -250 50 
4174 -250 50 
4174 -250 50 
4174 -250 50 
4172 -249 48 
4171 -248 47 
4170 -248 47 
4169 -248 46 
4168 -248 46 
4166 -248 46 
4164 -248 46 
4162 -247 45 
4160 -247 45 
4157 -247 45 
4155 -247 45 
4152 -247 45 
4149 -247 45 
4146 -247 44 
4143 -247 44 
4140 -247 44 
4137 -247 44 
4134 -247 44 
4130 -247 44 
4127 -247 44 
4123 -247 44 
4119 -247 44 
4115 -247 44 
4112 -247 44 
4108 -247 44 
4104 -247 44 
4100 -247 44 
4096 -247 43 
4092 -246 43 
4087 -246 43 
4083 -246 43 
4079 -246 43 
4075 -246 43 
4070 -246 43 
4066 -246 43 
4062 -246 43 
4057 -246 43 
4053 -246 43 
4048 -246 43 
4047 -256 50 
4043 -262 50 
4038 -267 50 
4034 -273 50 
4029 -278 50 
4024 -283 50 
4019 -288 50 
4015 -293 50 
4010 -298 50 
4005 -302 50 
4001 -307 50 
3996 -311 49 
3992 -316 49 
3988 -320 49 
3983 -324 49 
3979 -328 49 
3975 -332 49 
3971 -335 49 
3967 -339 49 
3964 -342 49 
3960 -346 49 
3956 -349 49 
3953 -352 49 
3949 -355 49 
3946 -358 49 
3943 -361 49 
3940 -363 49 
3936 -366 49 
3933 -368 49 
3931 -370 49 
3928 -373 49 
3925 -375 49 
3922 -377 49 
3920 -378 49 
3917 -380 49 
3915 -382 49 
3912 -383 49 
3910 -384 49 
3908 -386 48 
3906 -387 48 
3904 -388 48 
3902 -389 48 
3900 -390 48 
3900 -392 51 
3900 -392 51 
3900 -393 51 
3900 -393 51 
3900 -393 51 
3900 -394 51 
3900 -394 50 
3900 -393 50 
3900 -393 50 
3900 -393 50 
3901 -393 51 
3901 -393 51 
3901 -392 51 
3901 -392 51 
3901 -391 51 
3901 -390 51 
3902 -390 52 
3902 -389 52 
3902 -387 52 
3902 -386 52 
3901 -385 52 
3901 -383 51 
3900 -382 51 
3901 -381 53 
3901 -379 53 
3901 -377 53 
3901 -376 53 
3901 -374 53 
3901 -372 53 
3901 -370 53 
3901 -367 53 
3901 -365 53 
3902 -363 53 
3901 -360 53 
3901 -357 53 
3901 -354 53 
3900 -352 53 
3900 -349 53 
3899 -346 53 
3899 -342 53 
3898 -339 53 
3898 -336 53 
3897 -333 53 
3896 -329 52 
3896 -326 52 
3895 -322 52 
3894 -318 52 
3893 -314 52 
3892 -311 52 
3891 -307 52 
3889 -303 52 
3888 -298 52 
3887 -294 52 
3886 -290 52 
3884 -286 52 
3883 -281 52 
3881 -277 52 
3880 -272 52 
3878 -267 52 
3877 -262 52 
3875 -258 52 
3873 -253 52 
3868 -247 45 
3866 -247 45 
3863 -247 45 
3861 -247 45 
3858 -247 45 
3855 -247 45 
3852 -247 44 
3849 -247 44 
3846 -247 44 
3843 -247 44 
3840 -247 44 
3836 -247 44 
3833 -247 44 
3829 -247 44 
3825 -247 44 
3821 -247 44 
3818 -247 44 
3814 -247 44 
3810 -247 44 
3806 -247 44 
3802 -247 43 
3798 -246 43 
3797 -256 51 
3793 -262 51 
3788 -267 50 
3784 -273 50 
3780 -278 50 
3775 -283 50 
3771 -288 50 
3767 -293 50 
3762 -298 50 
3758 -302 50 
3753 -307 50 
3748 -311 49 
3744 -316 49 
3739 -320 49 
3734 -324 49 
3730 -328 49 
3725 -331 49 
3720 -335 49 
3715 -339 49 
3710 -342 49 
3705 -345 48 
3700 -348 48 
3693 -346 43 
3688 -346 44 
3684 -346 44 
3679 -346 44 
3674 -346 45 
3669 -346 45 
3664 -345 45 
3660 -345 45 
3655 -344 46 
3651 -343 46 
3646 -342 46 
3642 -341 46 
3638 -340 47 
3634 -339 47 
3630 -338 47 
3626 -336 47 
3622 -335 47 
3618 -333 48 
3614 -331 48 
3611 -330 48 
3607 -328 48 
3604 -326 48 
3601 -324 48 
3597 -321 49 
3594 -319 49 
3591 -317 49 
3588 -314 49 
3585 -312 49 
3582 -309 49 
3579 -306 49 
3576 -303 49 
3573 -300 49 
3570 -297 49 
3567 -294 50 
3564 -291 50 
3561 -288 50 
3558 -284 50 
3554 -281 50 
3551 -277 50 
3548 -273 50 
3544 -270 50 
3541 -266 50 
3537 -262 50 
3534 -258 50 
3530 -254 50 
3523 -247 44 
3520 -247 44 
3516 -247 44 
3512 -247 44 
3508 -247 44 
3504 -247 44 
3500 -247 43 
3496 -246 43 
3492 -246 43 
3488 -246 43 
3483 -246 43 
3479 -246 43 
3475 -246 43 
3470 -246 43 
3466 -246 43 
3462 -246 43 
3457 -246 43 
3453 -246 43 
3448 -246 43 
3444 -246 43 
3439 -246 43 
3435 -246 43 
3430 -246 43 
3425 -246 43 
3421 -246 43 
3416 -246 43 
3412 -246 43 
3407 -246 43 
3402 -246 43 
3398 -246 43 
3393 -246 43 
3388 -246 43 
3387 -256 50 
3382 -261 50 
3378 -267 50 
3373 -272 50 
3368 -278 50 
3363 -283 50 
3358 -288 50 
3353 -293 50 
3348 -298 49 
3343 -302 49 
3338 -307 49 
3333 -311 49 
3327 -315 49 
3322 -320 49 
3317 -324 49 
3312 -328 49 
3307 -331 49 
3301 -335 48 
3296 -338 48 
3290 -342 48 
3285 -345 48 
3280 -348 48 
3274 -351 48 
3269 -354 48 
3263 -357 48 
3258 -360 47 
3252 -362 47 
3246 -365 47 
3241 -367 47 
3235 -369 47 
3229 -372 47 
3224 -374 47 
3218 -375 47 
3212 -377 46 
3206 -379 46 
3201 -380 46 
3195 -382 46 
3189 -383 46 
3184 -384 46 
3178 -386 46 
3173 -387 46 
3168 -387 46 
3162 -388 45 
3157 -389 45 
3152 -389 45 
3147 -390 45 
3142 -390 45 
3138 -390 45 
3133 -391 44 
3128 -390 44 
3124 -390 43 
3120 -390 44 
3116 -390 45 
3112 -390 45 
3108 -390 45 
3104 -390 46 
3100 -389 46 
3096 -388 46 
3092 -388 46 
3088 -387 46 
3084 -386 46 
3080 -385 47 
3076 -384 47 
3072 -382 47 
3067 -381 47 
3063 -380 47 
3059 -378 47 
3055 -376 47 
3050 -375 47 
3046 -373 47 
3041 -371 47 
3037 -369 47 
3032 -367 48 
3028 -364 48 
3023 -362 48 
3018 -360 48 
3014 -357 48 
3009 -355 48 
3004 -352 48 
3000 -349 48 
2995 -346 48 
2990 -343 48 
2985 -340 48 
2980 -337 48 
2975 -334 48 
2970 -330 48 
2965 -327 48 
2960 -324 48 
2955 -320 48 
2950 -316 48 
2945 -313 49 
2940 -309 49 
2934 -305 49 
2929 -301 49 
2924 -297 49 
2919 -292 49 
2913 -288 49 
2908 -284 49 
2903 -279 49 
2897 -275 49 
2892 -270 49 
2886 -266 49 
2881 -261 49 
2875 -256 49 
2870 -251 49 
2861 -246 42 
2855 -246 42 
2850 -246 42 
2844 -246 43 
2839 -246 43 
2834 -246 43 
2832 -256 50 
2827 -261 50 
2821 -267 50 
2816 -272 50 
2810 -278 49 
2805 -283 49 
2799 -288 49 
2794 -293 49 
2788 -297 49 
2782 -302 49 
2777 -307 49 
2771 -311 49 
2765 -315 49 
2760 -319 48 
2754 -323 48 
2748 -327 48 
2742 -331 48 
2736 -335 48 
2730 -338 48 
2724 -342 48 
2718 -345 48 
2712 -348 48 
2706 -351 47 
2700 -354 47 
2694 -357 47 
2688 -360 47 
2682 -362 47 
2676 -365 47 
2670 -367 47 
2664 -369 47 
2658 -371 46 
2651 -373 46 
2645 -375 46 
2639 -377 46 
2632 -379 46 
2626 -380 46 
2620 -382 46 
2613 -383 45 
2607 -384 45 
2600 -385 45 
2594 -386 45 
2588 -387 45 
2581 -388 45 
2574 -388 44 
2568 -389 44 
2561 -389 44 
2555 -390 44 
2548 -390 43 
2541 -390 43 
2535 -390 43 
2528 -389 42 
2522 -390 43 
2516 -390 43 
2510 -390 44 
2504 -389 44 
2499 -389 44 
2493 -389 45 
2488 -388 45 
2482 -387 45 
2477 -386 45 
2472 -385 46 
2467 -384 46 
2461 -383 46 
2456 -382 46 
2452 -381 46 
2447 -379 47 
2442 -378 47 
2438 -376 47 
2433 -375 47 
2428 -373 47 
2424 -371 47 
2419 -369 47 
2415 -367 47 
2410 -364 48 
2406 -362 48 
2401 -360 48 
2396 -357 48 
2392 -355 48 
2387 -352 48 
2383 -349 48 
2378 -346 48 
2373 -343 48 
2368 -340 48 
2363 -337 48 
2359 -334 48 
2354 -330 48 
2349 -327 48 
2344 -324 48 
2339 -320 48 
2334 -316 49 
2329 -313 49 
2324 -309 49 
2319 -305 49 
2314 -301 49 
2308 -297 49 
2303 -292 49 
2298 -288 49 
2293 -284 49 
2287 -279 49 
2282 -275 49 
2277 -270 49 
2271 -266 49 
2266 -261 49 
2260 -256 49 
2255 -251 49 
2246 -246 42 
2241 -246 43 
2235 -246 43 
2234 -256 50 
2228 -261 50 
2223 -267 50 
2217 -272 50 
2212 -278 49 
2206 -283 49 
2201 -288 49 
2195 -293 49 
2189 -297 49 
2184 -302 49 
2178 -307 49 
2172 -311 49 
2167 -315 49 
2161 -319 48 
2155 -323 48 
2149 -327 48 
2143 -331 48 
2137 -335 48 
2131 -338 48 
2126 -342 48 
2120 -345 48 
2114 -348 48 
2108 -351 48 
2102 -354 47 
2096 -357 47 
2090 -360 47 
2085 -362 47 
2079 -365 47 
2074 -367 47 
2068 -369 47 
2063 -372 47 
2058 -374 47 
2053 -376 47 
2048 -377 47 
2043 -379 47 
2038 -381 47 
2033 -382 47 
2029 -383 47 
2024 -385 47 
2020 -386 46 
2016 -387 46 
2011 -388 46 
2007 -389 46 
2003 -389 46 
1999 -390 46 
1995 -390 46 
1991 -391 46 
1987 -391 45 
1983 -391 45 
1980 -391 45 
1975 -390 44 
1972 -391 45 
1968 -391 45 
1965 -390 45 
1961 -390 46 
1957 -390 46 
1953 -389 46 
1949 -388 46 
1945 -388 46 
1941 -387 46 
1937 -386 46 
1933 -385 47 
1929 -384 47 
1925 -382 47 
1921 -381 47 
1917 -380 47 
1913 -378 47 
