72 2022-06-30
100 314 36 
101 315 36 
101 316 37 
102 319 37 
102 322 38 
102 326 38 
103 331 38 
103 337 39 
104 343 39 
104 351 39 
105 359 39 
103 366 32 
105 366 31 
108 366 31 
112 367 30 
116 367 30 
121 367 30 
127 367 29 
133 367 29 
140 367 29 
147 367 29 
154 367 29 
162 367 29 
169 367 29 
177 368 28 
186 368 28 
194 368 28 
203 368 28 
212 368 28 
220 368 28 
229 368 28 
238 368 28 
248 368 28 
257 368 28 
266 368 28 
275 368 28 
285 368 28 
294 368 28 
304 368 28 
313 368 28 
323 368 28 
332 368 28 
342 368 28 
351 368 28 
361 368 28 
371 368 28 
380 368 28 
390 368 28 
399 368 28 
409 368 28 
419 368 28 
428 368 28 
438 368 28 
448 368 28 
457 368 28 
467 368 28 
477 368 28 
487 368 28 
496 368 28 
506 368 28 
516 368 28 
525 368 28 
535 368 28 
545 368 28 
555 368 28 
564 368 28 
578 353 35 
587 343 50 
597 333 49 
607 323 49 
617 315 49 
628 306 49 
638 299 49 
649 291 48 
659 284 48 
670 278 48 
681 272 48 
692 267 47 
703 262 47 
714 257 47 
725 253 47 
737 250 46 
748 247 46 
760 244 31 
772 242 30 
783 241 29 
795 242 28 
807 242 29 
820 243 30 
833 244 30 
845 247 31 
851 247 38 
851 251 38 
852 257 39 
826 249 32 
805 238 31 
784 229 31 
764 221 31 
744 213 31 
725 207 31 
706 201 30 
687 196 30 
668 203 27 
651 204 28 
635 205 29 
619 208 30 
603 211 30 
609 206 32 
628 204 26 
651 205 27 
674 206 28 
696 208 28 
718 212 29 
740 216 29 
763 221 29 
785 226 30 
807 233 30 
829 240 30 
852 243 40 
826 236 32 
805 226 31 
784 216 31 
764 208 31 
744 201 31 
725 194 31 
706 188 30 
702 179 38 
701 175 38 
709 171 32 
731 160 31 
753 151 31 
775 142 31 
797 134 30 
819 127 30 
839 129 26 
862 130 27 
884 131 28 
906 133 28 
928 137 29 
950 141 29 
973 135 32 
991 129 25 
1013 129 27 
1035 130 27 
1056 132 28 
1077 135 29 
1099 138 29 
1120 143 29 
1141 148 30 
1162 154 30 
1184 161 30 
1205 169 31 
1226 177 31 
1247 186 31 
1268 196 32 
1289 207 32 
1310 218 32 
1331 230 32 
1352 243 32 
1373 256 33 
1394 270 33 
1415 285 33 
1436 301 33 
1457 317 33 
1478 334 34 
1499 351 34 
1516 369 25 
1540 354 32 
1560 344 47 
1580 334 47 
1600 325 46 
1620 316 46 
1640 308 46 
1660 300 46 
1680 292 46 
1700 286 46 
1720 279 45 
1740 273 45 
1760 268 45 
1780 263 45 
1800 258 44 
1820 254 44 
1841 251 44 
1861 248 29 
1880 246 28 
1900 245 27 
1919 245 26 
1938 245 27 
1958 245 28 
1977 247 28 
1996 249 29 
2015 252 29 
2033 256 30 
2051 261 30 
2069 267 31 
2086 273 31 
2102 280 32 
2118 288 32 
2134 297 33 
2149 307 33 
2164 317 33 
2178 328 34 
2192 339 34 
2205 352 34 
2218 365 35 
2231 379 35 
2243 393 35 
2254 408 36 
2266 424 36 
2277 441 36 
2287 458 37 
2297 476 37 
2307 494 37 
2302 512 35 
2287 527 35 
2271 543 35 
2254 560 35 
2238 576 35 
2221 593 35 
2203 611 35 
2186 628 35 
2168 646 35 
2149 665 35 
2131 683 35 
2112 702 35 
2092 722 35 
2073 741 35 
2053 761 35 
2032 782 35 
2012 802 35 
1991 823 35 
1969 845 35 
1948 866 35 
1926 888 35 
1904 910 35 
1881 933 35 
1858 956 35 
1835 979 35 
1812 1002 35 
1788 1026 35 
1764 1049 35 
1740 1074 35 
1720 1078 34 
1704 1064 49 
1688 1050 49 
1672 1037 49 
1656 1024 49 
1640 1012 48 
1624 1001 48 
1608 990 48 
1592 979 48 
1575 969 48 
1559 960 47 
1543 951 47 
1526 942 47 
1510 934 47 
1493 927 47 
1477 920 46 
1460 913 46 
1443 907 46 
1427 901 46 
1410 896 46 
1393 892 45 
1376 888 45 
1359 884 45 
1342 881 45 
1325 878 44 
1308 875 44 
1291 874 44 
1274 872 43 
1257 871 43 
1239 871 42 
1222 871 42 
1205 871 42 
